Name,Author,User Rating,Reviews,Price,Year,Genre
People We Meet on Vacation,Emily Henry,4.4,78000,15,2021,Fiction
When Day of Shadows,Rick Riordan,4.6,8415,21,2015,Fiction
Golden Woman Reborn,Donna Tartt,4.3,180000,13,2020,Fiction
Mindset: Learning Simplified,Barack Obama,4.5,49408,16,2022,Non Fiction
Diary of a Wimpy Kid: Rodrick Rules,Jeff Kinney,4.7,45000,10,2008,Fiction
Think and Grow Rich,Napoleon Hill,4.7,43289,10,2010,Non Fiction
Broken Window in the Dark,Suzanne Collins,4.4,13603,10,2001,Fiction
Peak: Creativity That Last,Tim Ferriss,4.5,34828,12,2014,Non Fiction
Range: Mastery,Will Smith,4.4,56377,12,2008,Non Fiction
The Infinite Mastery,Jared Diamond,3.9,82912,22,2007,Non Fiction
The Art of Innovation,Joan Didion,4.2,180000,9,2003,Non Fiction
From Zero to Resilience Redefined,Amy Poehler,3.9,13488,12,2019,Non Fiction
The Theory of Everything,Stephen Hawking,4.5,23000,13,2006,Non Fiction
Lost Night of Truth,Lauren Groff,4.2,7424,10,2001,Fiction
The 5 AM Strategy Decoded,Ron Chernow,4.4,171560,8,2020,Non Fiction
Light Bridge,Harlan Coben,4.0,72546,18,2011,Fiction
The Hard Thing About Strategy Matters,Tina Fey,3.7,12835,20,2016,Non Fiction
The Subtle Art of Not Giving a F*ck,Mark Manson,4.6,71817,13,2017,Non Fiction
The Power of Innovation Matters,Rachel Maddow,4.1,3108,22,2015,Non Fiction
Why We Focus in Action,Rachel Hollis,4.0,4547,17,2002,Non Fiction
Broken Castle of Dreams,Tomi Adeyemi,4.1,77562,10,2011,Fiction
Light Storm,Taylor Jenkins Reid,4.3,5858,13,2012,Fiction
The Power of Creativity,Isabel Wilkerson,4.5,34336,25,2017,Non Fiction
Last Girl,Clive Cussler,4.2,9741,10,2006,Fiction
Dark Man of Truth,David Baldacci,4.5,37485,25,2007,Fiction
Before Door by the Sea,Ernest Cline,4.6,180000,22,2003,Fiction
Outliers: Mastery,Patti Smith,4.4,13824,18,2004,Non Fiction
Little Garden of the Fallen,Hanya Yanagihara,4.7,32759,12,2012,Fiction
Alexander Hamilton,Ron Chernow,4.7,20961,16,2004,Non Fiction
Measure What Innovation,Mary Trump,4.1,6240,19,2015,Non Fiction
Harry Potter and the Goblet of Fire,J.K. Rowling,4.8,95000,12,2004,Fiction
First Day of the Heart,Ann Patchett,4.3,4020,22,2002,Fiction
Lost Night,Celeste Ng,4.6,29448,10,2010,Fiction
Shadow Rose of the World,Leigh Bardugo,4.3,26451,15,2013,Fiction
Broken Storm of the Fallen,Stephanie Meyer,4.1,20053,11,2016,Fiction
From Zero to Leadership,David Goggins,4.4,35264,14,2019,Non Fiction
All the Ocean of the Heart,Paula Hawkins,4.7,6909,23,2002,Fiction
Life of Pi,Yann Martel,4.3,36889,11,2002,Fiction
Atomic Persuasion,David McCullough,4.3,5498,23,2012,Non Fiction
Mindset: Communication,Brene Brown,4.0,16899,18,2018,Non Fiction
First Window,Holly Black,4.3,42194,13,2019,Fiction
Dead Wake,Erik Larson,4.4,23000,16,2015,Non Fiction
The 5 AM Leadership Unleashed,Oprah Winfrey,4.4,15914,18,2022,Non Fiction
The Courage to Focus Decoded,Nassim Nicholas Taleb,4.6,1000,16,2022,Non Fiction
Too Much and Never Enough,Mary Trump,4.1,45000,16,2020,Non Fiction
From Zero to Focus,Adam Grant,4.6,44829,16,2008,Non Fiction
First Night,Liane Moriarty,4.2,6520,17,2018,Fiction
The Art of Strategy,Don Miguel Ruiz,4.6,180000,17,2022,Non Fiction
Dark Mirror,Ann Patchett,4.5,82987,22,2019,Fiction
Circe,Madeline Miller,4.6,33921,16,2018,Fiction
Talking to Strangers,Malcolm Gladwell,4.3,34000,16,2019,Non Fiction
Good to Focus for Life,Marie Kondo,4.3,51876,21,2010,Non Fiction
The Infinite Mindfulness,Suze Orman,4.3,9592,24,2012,Non Fiction
Unbroken,Laura Hillenbrand,4.8,88776,15,2010,Non Fiction
The Art of Communication,Dave Ramsey,4.7,19973,13,2021,Non Fiction
The Infinite Communication,Barack Obama,4.2,20610,9,2019,Non Fiction
Before Dream of the Fallen,Veronica Roth,4.3,25441,10,2018,Fiction
The Secret of Focus for Life,James Clear,4.0,2463,10,2004,Non Fiction
Good to Learning,Trevor Noah,4.4,55535,21,2016,Non Fiction
12 Rules for Mindfulness,Tim Ferriss,4.9,15048,17,2007,Non Fiction
Dare to Lead,Brene Brown,4.7,56000,15,2018,Non Fiction
Peak: Strategy,Sam Harris,4.8,8899,9,2015,Non Fiction
Lean In,Sheryl Sandberg,4.3,31234,15,2013,Non Fiction
Cosmos,Neil deGrasse Tyson,4.6,34000,15,2014,Non Fiction
A House of Secrets,Celeste Ng,4.6,2288,25,2016,Fiction
In the Garden of Beasts,Erik Larson,4.3,19000,15,2011,Non Fiction
The Kite Runner,Khaled Hosseini,4.6,86541,11,2003,Fiction
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.4,45000,14,2017,Non Fiction
Hidden Star of the World,Liane Moriarty,4.3,19843,18,2019,Fiction
Good to Discipline,Sheryl Sandberg,4.4,180000,9,2015,Non Fiction
Untamed,Glennon Doyle,4.6,78000,14,2020,Non Fiction
Shoe Dog,Phil Knight,4.8,67234,14,2016,Non Fiction
Think Innovation,Stephen R. Covey,4.1,121080,20,2018,Non Fiction
Why We Influence Redefined,Sam Harris,4.4,17917,16,2018,Non Fiction
A King,Marie Lu,4.6,42656,17,2007,Fiction
Shadow Mountain,Nicola Yoon,4.9,52241,21,2002,Fiction
Six of Crows,Leigh Bardugo,4.6,78000,13,2015,Fiction
Midnight Window of the Lost,Tomi Adeyemi,4.4,1799,17,2021,Fiction
All the Water of the Fallen,Sally Rooney,4.1,32495,8,2021,Fiction
Light Clock at Midnight,Janet Evanovich,4.8,62806,8,2006,Fiction
After Bridge of Lies,Kristin Hannah,4.1,17147,19,2017,Fiction
The Girl with the Dragon Tattoo,Stieg Larsson,4.5,67000,14,2009,Fiction
Diary of a Wimpy Kid: The Last Straw,Jeff Kinney,4.6,43000,10,2009,Fiction
Shadow Night of Truth,Jeff Kinney,4.8,9710,11,2001,Fiction
Why We Excellence,Jared Diamond,4.2,34915,17,2011,Non Fiction
Think Thinking,Don Miguel Ruiz,4.6,163976,15,2022,Non Fiction
The Moon of Lies,Dan Brown,4.5,24419,24,2017,Fiction
Captain Underpants,Dav Pilkey,4.8,56000,9,2013,Fiction
Golden House,Mohsin Hamid,4.0,17875,21,2004,Fiction
A Boy by the Sea,Mohsin Hamid,4.6,18670,10,2005,Fiction
Light Moon,Jason Reynolds,4.6,30586,21,2008,Fiction
Last Boy of the Heart,Nicola Yoon,3.9,21979,24,2013,Fiction
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,38291,13,2010,Non Fiction
Built to Purpose Simplified,Kevin Hart,4.0,31581,19,2007,Non Fiction
Catching Fire,Suzanne Collins,4.7,110287,11,2009,Fiction
Lost Moon,Nicholas Sparks,4.6,1000,14,2018,Fiction
Why We Resilience,Neil deGrasse Tyson,4.8,62969,24,2001,Non Fiction
The 7 Rules of Persuasion,Napoleon Hill,4.8,39771,17,2010,Non Fiction
Origin,Dan Brown,4.1,45000,17,2017,Fiction
Light Window of the Lost,Dean Koontz,4.5,104573,25,2011,Fiction
Big Tower of Dreams,Janet Evanovich,4.1,115132,23,2017,Fiction
Drive: Negotiation,Neil deGrasse Tyson,4.2,3010,18,2009,Non Fiction
Klara and the Sun,Kazuo Ishiguro,4.1,34000,16,2021,Fiction
The Art of War,Sun Tzu,4.5,34000,10,2007,Non Fiction
Before Mountain,Brit Bennett,4.5,38308,11,2021,Fiction
Forgotten Woman of Ice,Brit Bennett,4.7,17231,25,2010,Fiction
Flow: Leadership,Rachel Maddow,4.5,30171,25,2003,Non Fiction
Leaders Eat Mindfulness,Stephen Hawking,4.1,26234,13,2016,Non Fiction
Shadow Door in the Dark,Rick Riordan,4.5,21913,9,2015,Fiction
Spark Joy,Marie Kondo,4.4,23000,15,2016,Non Fiction
Midnight Night,E.L. James,4.4,67820,18,2019,Fiction
Secret Clock,Celeste Ng,4.7,22464,19,2010,Fiction
Children of Blood and Bone,Tomi Adeyemi,4.5,56000,14,2018,Fiction
How to Influence for Life,Tara Westover,4.0,72424,20,2009,Non Fiction
After Queen of Truth,Madeline Miller,4.0,7948,15,2017,Fiction
From Zero to Success,Rachel Hollis,4.5,26524,15,2019,Non Fiction
Why We Discipline Revolution,Jen Sincero,4.1,45924,14,2013,Non Fiction
Where Clock of Shadows,Nicola Yoon,4.3,17436,13,2001,Fiction
From Zero to Focus in Action,David McCullough,4.7,6760,15,2022,Non Fiction
The Devil in the White City,Erik Larson,4.3,31829,15,2003,Non Fiction
The 7 Rules of Focus,Ronan Farrow,4.5,25527,24,2020,Non Fiction
Blink,Malcolm Gladwell,4.4,42345,14,2007,Non Fiction
Outliers: Communication,Brene Brown,3.8,27269,23,2003,Non Fiction
You Are a Badass,Jen Sincero,4.6,54912,13,2013,Non Fiction
Lost Clock in Summer,Nora Roberts,4.3,7128,24,2020,Fiction
Last Clock,Margaret Atwood,4.1,68038,25,2019,Fiction
Broken Dream,Dav Pilkey,3.9,43841,18,2015,Fiction
A Man Called Ove,Fredrik Backman,4.7,78234,13,2014,Fiction
Steve Jobs,Walter Isaacson,4.6,39821,16,2011,Non Fiction
The Hate U Give,Angie Thomas,4.7,78000,13,2017,Fiction
Wonder,R.J. Palacio,4.8,98000,12,2012,Fiction
Start with Creativity,Dale Carnegie,4.4,1269,23,2012,Non Fiction
Big King,Heather Morris,4.3,25440,25,2010,Fiction
Will,Will Smith,4.6,45000,16,2021,Non Fiction
From Zero to Growth Matters,Ta-Nehisi Coates,4.7,42377,8,2014,Non Fiction
Dog Man: Unleashed,Dav Pilkey,4.9,34000,8,2017,Fiction
Built to Discipline for Life,Mark Manson,4.1,13750,15,2022,Non Fiction
Girl Stop Apologizing,Rachel Hollis,4.4,34000,15,2019,Non Fiction
12 Rules for Discipline,Ta-Nehisi Coates,4.3,78234,17,2010,Non Fiction
First Night of the Heart,Rick Riordan,4.8,16477,19,2012,Fiction
A Door in the Woods,Dav Pilkey,4.4,15146,23,2019,Fiction
Measure What Habits Unleashed,Jocko Willink,4.6,45464,22,2015,Non Fiction
Light River by the Sea,Naomi Alderman,4.3,49287,21,2001,Fiction
Grit: Mindfulness,Joan Didion,4.2,16664,14,2003,Non Fiction
Where Wolf,Jason Reynolds,4.2,12972,19,2007,Fiction
Fear: Trump in the White House,Bob Woodward,4.0,13829,19,2018,Non Fiction
Secret Wolf on the Hill,Donna Tartt,4.3,29679,17,2017,Fiction
Flow: Thinking,David McCullough,4.5,160080,14,2021,Non Fiction
Grit: Communication Unleashed,Dale Carnegie,4.0,27859,8,2008,Non Fiction
Shadow Queen,Jason Reynolds,3.8,16063,18,2006,Fiction
Secret Man by the Sea,Celeste Ng,4.6,5688,17,2015,Fiction
A Man in Winter,Viet Thanh Nguyen,4.9,20867,12,2015,Fiction
The Hunger Games,Suzanne Collins,4.7,167963,10,2009,Fiction
Bossypants,Tina Fey,4.3,34000,13,2011,Non Fiction
Broken Woman,Tara Westover,4.5,180000,9,2021,Fiction
Start with Strategy,Cheryl Strayed,4.5,5726,16,2016,Non Fiction
Think Growth,Brene Brown,4.3,43409,9,2022,Non Fiction
Principles,Ray Dalio,4.5,34000,18,2017,Non Fiction
Last Night,John Grisham,4.8,161901,12,2011,Fiction
Forgotten Sun,Pam Jenoff,4.5,87072,9,2020,Fiction
The Woman of Lies,George Saunders,4.6,20116,15,2002,Fiction
Measure What Discipline in Action,Will Smith,4.0,1648,13,2018,Non Fiction
Flow: Discipline,Amy Poehler,4.1,1971,19,2014,Non Fiction
Think Creativity,Jen Sincero,4.6,5903,9,2019,Non Fiction
A Court of Mist and Fury,Sarah J. Maas,4.7,134000,14,2016,Fiction
